Date,AAPL,AMZN,FB,GOOG,NFLX,^GSPC
2012-05-17,68.132248,218.360001,,310.361694,10.281428,1304.859985
2012-05-18,68.165665,213.850006,38.23,299.078979,9.994286,1295.219971
2012-05-21,72.136993,218.110001,34.029999,305.908386,10.248571,1315.98999
2012-05-22,71.583061,215.330002,31,299.278229,9.672857,1316.630005
2012-05-23,73.329674,217.279999,32,303.592072,10.272857,1318.859985
2012-05-24,72.656212,215.240005,33.029999,300.702881,10.038571,1320.680054
2012-05-25,72.2668,212.889999,31.91,294.660553,10.031428,1317.819946
2012-05-29,73.549454,214.75,28.84,296.060303,9.92,1332.420044
2012-05-30,74.436249,209.229996,28.190001,293.016693,9.62,1313.319946
2012-05-31,74.251175,212.910004,29.6,289.345459,9.062857,1310.329956
2012-06-01,72.099739,208.220001,27.719999,284.42392,8.992857,1278.040039
2012-06-04,72.523842,214.570007,26.9,288.214691,9.285714,1278.180054
2012-06-05,72.336205,213.210007,25.870001,284.139984,9.261429,1285.5
2012-06-06,73.445358,217.639999,26.809999,289.200989,9.411428,1315.130005
2012-06-07,73.478767,218.800003,26.309999,288.03537,9.234285,1314.98999
2012-06-08,74.584061,218.479996,27.1,289.141235,9.377143,1325.660034
2012-06-11,73.408081,216.5,27.01,283.188538,9,1308.930054
2012-06-12,74.0494,216.419998,27.4,281.494873,9.002857,1324.180054
2012-06-13,73.535316,214.729996,27.27,279.497375,8.975715,1314.880005
2012-06-14,73.45433,214.449997,28.290001,278.481171,8.951428,1329.099976
2012-06-15,73.788521,218.350006,30.01,281.200989,9.398571,1342.839966
2012-06-18,75.285774,222.660004,31.41,284.359161,9.532857,1344.780029
2012-06-19,75.495277,224.029999,31.91,289.679199,9.975715,1357.97998
2012-06-20,75.280624,223.020004,31.6,287.676727,9.737143,1355.689941
2012-06-21,74.243469,220.570007,31.84,281.549683,9.405714,1325.51001
2012-06-22,74.812836,222.160004,33.049999,284.672974,9.694285,1335.02002
2012-06-25,73.356667,220.070007,32.060001,279.303101,9.575714,1313.719971
2012-06-26,73.518631,225.610001,33.099998,281.285675,9.542857,1319.98999
2012-06-27,73.836052,225.619995,32.23,283.587036,9.498571,1331.849976
2012-06-28,73.135612,221.309998,31.360001,281.101349,9.622857,1329.040039
2012-06-29,75.057014,228.350006,31.1,288.951935,9.784286,1362.160034
2012-07-02,76.152031,229.320007,30.77,289.151184,9.692857,1365.51001
2012-07-03,77.037544,229.529999,31.200001,292.817444,10.291429,1374.02002
2012-07-05,78.390877,227.059998,31.469999,296.847351,11.674286,1367.579956
2012-07-06,77.86908,225.050003,31.73,291.895905,11.698571,1354.680054
2012-07-09,78.898537,225.050003,32.169998,291.910858,11.855714,1352.459961
2012-07-10,78.168549,219.5,31.469999,289.763885,11.461429,1341.469971
2012-07-11,77.682732,218.369995,30.969999,284.528503,11.662857,1341.449951
2012-07-12,76.972008,215.360001,30.809999,284.174835,12.138572,1334.76001
2012-07-13,77.752136,218.389999,30.719999,287.183563,12.128572,1356.780029
2012-07-16,78.001472,216.009995,28.25,286.386566,11.854285,1353.640015
2012-07-17,78.005302,216.929993,28.09,287.288177,11.682858,1363.670044
2012-07-18,77.917931,217.470001,29.110001,289.295654,11.61,1372.780029
2012-07-19,78.953827,226.169998,29,295.422668,11.874286,1376.51001
2012-07-20,77.666023,228.289993,28.76,304.269531,11.688571,1362.660034
2012-07-23,77.605606,226.009995,28.75,306.605774,11.42,1350.52002
2012-07-24,77.231621,223.039993,28.450001,302.650604,11.484285,1338.310059
2012-07-25,73.896461,217.050003,29.34,302.859802,8.611428,1337.890015
2012-07-26,73.884888,220.009995,26.85,305.53479,8.144286,1360.02002
2012-07-27,75.2061,237.320007,23.709999,316.294464,8.417143,1385.969971
2012-07-30,76.474617,236.089996,23.15,314.969421,8.25,1385.300049
2012-07-31,78.496284,233.300003,21.709999,315.303162,8.121428,1379.319946
2012-08-01,77.988594,232.089996,20.879999,315.158722,7.785714,1375.319946
2012-08-02,78.114563,230.809998,20.040001,313.20105,7.695714,1365
2012-08-03,79.131172,234.970001,21.09,319.46756,7.701428,1390.98999
2012-08-06,80.011559,233.990005,21.92,320.209778,8.112857,1394.22998
2012-08-07,79.800781,236.559998,20.719999,319.074036,8.271428,1401.349976
2012-08-08,79.66584,234.380005,20.719999,319.915863,8.257143,1402.219971
2012-08-09,80.120171,234.059998,21.01,319.975647,8.272857,1402.800049
2012-08-10,80.245369,232.75,21.809999,319.8013,8.557143,1405.869995
2012-08-13,81.316681,232.440002,21.6,328.772675,8.558572,1404.109985
2012-08-14,81.534821,233.190002,20.379999,333.081543,8.822857,1403.930054
2012-08-15,81.42382,237.419998,21.200001,332.523621,9.037143,1405.530029
2012-08-16,82.135017,241.550003,19.870001,335.17868,9.187143,1415.51001
2012-08-17,83.654213,241.169998,19.049999,337.305695,9.098572,1418.160034
2012-08-20,85.853645,240.350006,20.01,336.508698,9.177143,1418.130005
2012-08-21,84.680359,239.449997,19.16,333.504944,9.371428,1413.170044
2012-08-22,86.333794,243.100006,19.440001,337.325623,9.342857,1413.48999
2012-08-23,85.528366,241.199997,19.440001,337.136322,9.15,1402.079956
2012-08-24,85.604523,245.740005,19.41,338.047913,9.022857,1411.130005
2012-08-27,87.212784,243.919998,19.15,333.360474,8.912857,1410.439941
2012-08-28,87.099197,246.110001,19.34,337.360504,8.992857,1409.300049
2012-08-29,86.927536,247.119995,19.1,342.720398,9.062857,1410.48999
2012-08-30,85.688416,246.220001,19.09,339.56723,8.64,1399.47998
2012-08-31,85.865257,248.270004,18.059999,341.265839,8.531428,1406.579956
2012-09-04,87.12114,247.880005,17.73,339.248413,7.99,1404.939941
